encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E5_E5SMALL_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,5.233513,4.392356,0.092839,0.103774,0.182711,"[[0, 5, 4, 0], [0, 0, 12, 0], [0, 3, 11, 0], [0, 1, 12, 0]]",0.666667,0.587302,"[[8, 13], [7, 20]]",finetuned_cv,"{""fold_epochs"": [8, 7, 1, 4, 5], ""refit_epochs"": 5, ""cv_rmse"": 5.3138, ""cv_mae"": 4.3715, ""cv_r2"": 0.2035}",intfloat/multilingual-e5-small,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T09:50:03,
E5_E5SMALL_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.768063,3.930868,0.10185,0.163462,0.163002,"[[0, 11, 1, 0], [0, 11, 6, 0], [0, 10, 3, 0], [0, 3, 3, 0]]",0.344828,0.591652,"[[24, 5], [14, 5]]",finetuned_cv,"{""fold_epochs"": [7, 8, 1, 7, 3], ""refit_epochs"": 7, ""cv_rmse"": 4.4326, ""cv_mae"": 3.5586, ""cv_r2"": 0.198}",intfloat/multilingual-e5-small,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T09:52:45,
E5_E5BASE_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,4.501076,3.744188,0.328987,0.250513,0.423212,"[[0, 8, 1, 0], [0, 4, 8, 0], [0, 3, 10, 1], [0, 2, 9, 2]]",0.690909,0.716049,"[[12, 9], [8, 19]]",finetuned_cv,"{""fold_epochs"": [4, 2, 3, 3, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.8118, ""cv_mae"": 3.9509, ""cv_r2"": 0.3469}",intfloat/multilingual-e5-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T09:56:51,
E5_E5BASE_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.277325,3.463967,0.277215,0.290425,0.320442,"[[2, 8, 2, 0], [0, 11, 6, 0], [0, 7, 6, 0], [0, 2, 4, 0]]",0.4375,0.724138,"[[23, 6], [12, 7]]",finetuned_cv,"{""fold_epochs"": [8, 4, 1, 3, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.1976, ""cv_mae"": 3.3973, ""cv_r2"": 0.2808}",intfloat/multilingual-e5-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:01:26,
E5_BETO_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,4.443502,3.845771,0.346044,0.35292,0.511992,"[[0, 8, 1, 0], [1, 4, 6, 1], [0, 1, 12, 1], [0, 2, 6, 5]]",0.727273,0.765432,"[[13, 8], [7, 20]]",finetuned_cv,"{""fold_epochs"": [6, 4, 3, 20, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.8338, ""cv_mae"": 3.8939, ""cv_r2"": 0.3409}",dccuchile/bert-base-spanish-wwm-cased,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:05:59,
E5_BETO_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.30913,3.468273,0.266426,0.307742,0.421875,"[[2, 8, 2, 0], [0, 8, 9, 0], [0, 3, 10, 0], [0, 1, 5, 0]]",0.619048,0.77677,"[[19, 10], [6, 13]]",finetuned_cv,"{""fold_epochs"": [7, 3, 1, 5, 1], ""refit_epochs"": 3, ""cv_rmse"": 4.2303, ""cv_mae"": 3.401, ""cv_r2"": 0.2695}",dccuchile/bert-base-spanish-wwm-cased,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:09:19,
E5_BERTIN_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,5.27283,4.343785,0.079157,0.182041,0.197428,"[[0, 4, 5, 0], [0, 4, 8, 0], [0, 4, 10, 0], [0, 1, 12, 0]]",0.655172,0.552028,"[[9, 12], [8, 19]]",finetuned_cv,"{""fold_epochs"": [17, 11, 1, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 5.3714, ""cv_mae"": 4.392, ""cv_r2"": 0.1862}",bertin-project/bertin-roberta-base-spanish,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:13:41,
E5_BERTIN_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.805491,3.99165,0.087694,0.183399,0.122862,"[[0, 11, 1, 0], [0, 13, 4, 0], [0, 10, 3, 0], [0, 4, 2, 0]]",0.0,0.611615,"[[29, 0], [19, 0]]",finetuned_cv,"{""fold_epochs"": [5, 5, 4, 2, 1], ""refit_epochs"": 4, ""cv_rmse"": 4.4889, ""cv_mae"": 3.7057, ""cv_r2"": 0.1775}",bertin-project/bertin-roberta-base-spanish,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:16:47,
E5_MDEBERTA_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,4.59234,3.694611,0.301501,0.295427,0.471917,"[[2, 6, 1, 0], [0, 3, 9, 0], [0, 4, 10, 0], [0, 1, 11, 1]]",0.714286,0.742504,"[[12, 9], [7, 20]]",finetuned_cv,"{""fold_epochs"": [7, 4, 7, 6, 4], ""refit_epochs"": 6, ""cv_rmse"": 4.653, ""cv_mae"": 3.8489, ""cv_r2"": 0.3893}",microsoft/mdeberta-v3-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T10:45:47,
E5_MDEBERTA_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.40144,3.545767,0.23466,0.218937,0.373766,"[[0, 11, 1, 0], [0, 9, 8, 0], [0, 5, 8, 0], [0, 1, 5, 0]]",0.555556,0.700544,"[[22, 7], [9, 10]]",finetuned_cv,"{""fold_epochs"": [7, 3, 6, 5, 2], ""refit_epochs"": 5, ""cv_rmse"": 4.136, ""cv_mae"": 3.3211, ""cv_r2"": 0.3017}",microsoft/mdeberta-v3-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T11:09:16,
E5_XLMR_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,4.470396,3.802354,0.338104,0.294792,0.461251,"[[1, 7, 1, 0], [0, 5, 7, 0], [0, 6, 6, 2], [0, 2, 8, 3]]",0.679245,0.77425,"[[13, 8], [9, 18]]",finetuned_cv,"{""fold_epochs"": [7, 7, 11, 7, 5], ""refit_epochs"": 7, ""cv_rmse"": 4.5067, ""cv_mae"": 3.631, ""cv_r2"": 0.4271}",xlm-roberta-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T11:16:24,
E5_XLMR_FT,fine-tuning-cv,question,05,no_augmentation,GAD7,42,test,confirmatory,4.541428,3.548675,0.185202,0.240306,0.17175,"[[1, 11, 0, 0], [0, 17, 0, 0], [0, 11, 2, 0], [0, 5, 1, 0]]",0.0,0.704174,"[[29, 0], [19, 0]]",finetuned_cv,"{""fold_epochs"": [9, 5, 3, 3, 5], ""refit_epochs"": 5, ""cv_rmse"": 4.3346, ""cv_mae"": 3.5584, ""cv_r2"": 0.2331}",xlm-roberta-base,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T11:22:04,
E5_E5LARGE_FT,fine-tuning-cv,question,05,no_augmentation,PHQ9,42,test,confirmatory,4.3937,3.5885,0.36062,0.283404,0.442724,"[[0, 8, 0, 1], [0, 4, 6, 2], [0, 3, 9, 2], [0, 0, 9, 4]]",0.779661,0.763668,"[[12, 9], [4, 23]]",finetuned_cv,"{""fold_epochs"": [3, 3, 5, 2, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.6786, ""cv_mae"": 3.775, ""cv_r2"": 0.3826}",intfloat/multilingual-e5-large,finetuned_cv,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T11:54:31,
