corpus,tokenizer,form,pieces,occurrences,lexicon
interviews (train),BERTIN (RoBERTa-es),Entonces,ĠEn | tonces,138,False
interviews (train),BERTIN (RoBERTa-es),ansioso,Ġans | ioso,97,True
interviews (train),BERTIN (RoBERTa-es),duermo,Ġduer | mo,90,True
interviews (train),BERTIN (RoBERTa-es),ansiosa,Ġans | iosa,64,False
interviews (train),BERTIN (RoBERTa-es),manejado,Ġmane | jado,27,False
interviews (train),BERTIN (RoBERTa-es),levanto,Ġlevan | to,23,False
interviews (train),BERTIN (RoBERTa-es),Siento,ĠS | iento,22,False
interviews (train),BERTIN (RoBERTa-es),estresada,Ġestres | ada,22,True
interviews (train),BERTIN (RoBERTa-es),estresado,Ġestres | ado,19,True
interviews (train),BERTIN (RoBERTa-es),acuesto,Ġacu | esto,17,False
interviews (train),BERTIN (RoBERTa-es),decaído,Ġdeca | ÃŃdo,14,True
interviews (train),BERTIN (RoBERTa-es),levantarme,Ġlevantar | me,14,False
interviews (train),BERTIN (RoBERTa-es),dormí,Ġdorm | ÃŃ,11,True
interviews (train),BERTIN (RoBERTa-es),estreso,Ġestr | eso,11,False
interviews (train),BERTIN (RoBERTa-es),preocupo,Ġpreocu | po,10,True
interviews (train),BERTIN (RoBERTa-es),Realmente,ĠRe | almente,8,False
interviews (train),BERTIN (RoBERTa-es),agotada,Ġago | tada,8,True
interviews (train),BERTIN (RoBERTa-es),creería,Ġcre | erÃŃa,8,False
interviews (train),BERTIN (RoBERTa-es),manejarlo,Ġmanejar | lo,8,False
interviews (train),BERTIN (RoBERTa-es),relajarme,Ġrelajar | me,8,False
interviews (train),BERTIN (RoBERTa-es),sobrepensar,Ġsobre | pens | ar,8,True
interviews (train),BERTIN (RoBERTa-es),Simplemente,ĠSim | plemente,7,False
interviews (train),BERTIN (RoBERTa-es),Trato,ĠTra | to,7,False
interviews (train),BERTIN (RoBERTa-es),dormirme,Ġdormir | me,7,False
interviews (train),BERTIN (RoBERTa-es),estresante,Ġestres | ante,7,False
interviews (train),BERTIN (RoBERTa-es),quices,Ġqu | ices,7,False
interviews (train),BERTIN (RoBERTa-es),abrumada,Ġabrum | ada,6,True
interviews (train),BERTIN (RoBERTa-es),ahorita,Ġahor | ita,6,False
interviews (train),BERTIN (RoBERTa-es),chévere,Ġch | Ã© | ver | e,6,False
interviews (train),BERTIN (RoBERTa-es),duerma,Ġduer | ma,6,False
interviews (train),BERTIN (RoBERTa-es),irritable,Ġirri | table,6,True
interviews (train),BERTIN (RoBERTa-es),manejando,Ġmane | jando,6,False
interviews (train),BERTIN (RoBERTa-es),mantengo,Ġmanten | go,6,False
interviews (train),BERTIN (RoBERTa-es),Solamente,ĠSol | amente,5,False
interviews (train),BERTIN (RoBERTa-es),acosté,Ġacos | tÃ©,5,False
interviews (train),BERTIN (RoBERTa-es),afronto,Ġafron | to,5,False
interviews (train),BERTIN (RoBERTa-es),concentro,Ġconcen | tro,5,True
interviews (train),BERTIN (RoBERTa-es),despertarme,Ġdespertar | me,5,False
interviews (train),BERTIN (RoBERTa-es),dormida,Ġdorm | ida,5,True
interviews (train),BERTIN (RoBERTa-es),estudié,Ġestudi | Ã©,5,False
interviews (train),BERTIN (RoBERTa-es),frustro,Ġfr | us | tro,5,False
interviews (train),BERTIN (RoBERTa-es),full,Ġf | ull,5,False
interviews (train),BERTIN (RoBERTa-es),mantenerme,Ġmantener | me,5,False
interviews (train),BERTIN (RoBERTa-es),ocasiona,Ġocas | iona,5,False
interviews (train),BERTIN (RoBERTa-es),organizarme,Ġorganiz | arme,5,False
interviews (train),BERTIN (RoBERTa-es),preocuparme,Ġpreocupar | me,5,False
interviews (train),BERTIN (RoBERTa-es),saqué,Ġsa | quÃ©,5,False
interviews (train),BERTIN (RoBERTa-es),sobrellevar,Ġsobre | llevar,5,False
interviews (train),BERTIN (RoBERTa-es),sufro,Ġsuf | ro,5,False
interviews (train),BERTIN (RoBERTa-es),trasnocho,Ġtras | no | cho,5,False
interviews (train),BERTIN (RoBERTa-es),Digamos,ĠDig | amos,4,False
interviews (train),BERTIN (RoBERTa-es),Pienso,ĠP | ien | so,4,False
interviews (train),BERTIN (RoBERTa-es),Preocupado,ĠPre | ocu | pado,4,True
interviews (train),BERTIN (RoBERTa-es),Sigo,ĠS | igo,4,False
interviews (train),BERTIN (RoBERTa-es),abarcando,Ġabar | cando,4,False
interviews (train),BERTIN (RoBERTa-es),académicamente,ĠacadÃ©m | icamente,4,False
interviews (train),BERTIN (RoBERTa-es),afrontando,Ġafron | tando,4,False
interviews (train),BERTIN (RoBERTa-es),amanezco,Ġaman | ezco,4,False
interviews (train),BERTIN (RoBERTa-es),ansiedades,Ġansi | edades,4,True
interviews (train),BERTIN (RoBERTa-es),choripán,Ġchor | ip | Ã¡n,4,False
interviews (train),BERTIN (RoBERTa-es),comí,Ġcom | ÃŃ,4,False
interviews (train),BERTIN (RoBERTa-es),conté,Ġcon | tÃ©,4,False
interviews (train),BERTIN (RoBERTa-es),decaída,Ġdeca | ÃŃda,4,True
interviews (train),BERTIN (RoBERTa-es),feas,Ġf | eas,4,False
interviews (train),BERTIN (RoBERTa-es),frustra,Ġfr | ustra,4,False
interviews (train),BERTIN (RoBERTa-es),levanté,Ġlevan | tÃ©,4,False
interviews (train),BERTIN (RoBERTa-es),mencioné,Ġmencion | Ã©,4,False
interviews (train),BERTIN (RoBERTa-es),organizo,Ġorganiz | o,4,False
interviews (train),BERTIN (RoBERTa-es),pararme,Ġpar | arme,4,False
interviews (train),BERTIN (RoBERTa-es),redundancia,Ġredund | ancia,4,False
interviews (train),BERTIN (RoBERTa-es),sufrí,Ġsufr | ÃŃ,4,False
interviews (train),BERTIN (RoBERTa-es),supermal,Ġsuper | mal,4,False
interviews (train),BERTIN (RoBERTa-es),tiendo,Ġtien | do,4,False
interviews (train),BERTIN (RoBERTa-es),usualmente,Ġusu | almente,4,False
interviews (train),BERTIN (RoBERTa-es),Actualmente,ĠActu | almente,3,False
interviews (train),BERTIN (RoBERTa-es),Duermo,ĠD | uer | mo,3,True
interviews (train),BERTIN (RoBERTa-es),Principalmente,ĠPrincip | almente,3,False
interviews (train),BERTIN (RoBERTa-es),Tuve,ĠTu | ve,3,False
interviews (train),BERTIN (RoBERTa-es),abrumado,Ġabr | umado,3,True
interviews (train),BERTIN (RoBERTa-es),acostado,Ġacos | tado,3,False
interviews (train),BERTIN (RoBERTa-es),acostando,Ġacos | tando,3,False
interviews (train),BERTIN (RoBERTa-es),afectaba,Ġafec | taba,3,False
interviews (train),BERTIN (RoBERTa-es),agradado,Ġagrad | ado,3,False
interviews (train),BERTIN (RoBERTa-es),alejarme,Ġalejar | me,3,False
interviews (train),BERTIN (RoBERTa-es),apetite,Ġape | ti | te,3,False
interviews (train),BERTIN (RoBERTa-es),aprenderme,Ġaprender | me,3,False
interviews (train),BERTIN (RoBERTa-es),atracones,Ġatra | cones,3,False
interviews (train),BERTIN (RoBERTa-es),ayudarlo,Ġayud | arlo,3,False
interviews (train),BERTIN (RoBERTa-es),bajones,Ġbaj | ones,3,True
interviews (train),BERTIN (RoBERTa-es),becado,Ġbec | ado,3,False
interviews (train),BERTIN (RoBERTa-es),cabizbajo,Ġcab | iz | bajo,3,False
interviews (train),BERTIN (RoBERTa-es),caigo,Ġca | igo,3,False
interviews (train),BERTIN (RoBERTa-es),calmada,Ġcal | mada,3,False
interviews (train),BERTIN (RoBERTa-es),calmarme,Ġcalmar | me,3,False
interviews (train),BERTIN (RoBERTa-es),calmo,Ġcal | mo,3,False
interviews (train),BERTIN (RoBERTa-es),cambié,Ġcambi | Ã©,3,False
interviews (train),BERTIN (RoBERTa-es),canso,Ġcan | so,3,False
interviews (train),BERTIN (RoBERTa-es),computador,Ġcomput | ador,3,False
interviews (train),BERTIN (RoBERTa-es),concentrarme,Ġconcentr | arme,3,False
interviews (train),BERTIN (RoBERTa-es),controlarme,Ġcontrolar | me,3,False
interviews (train),BERTIN (RoBERTa-es),demoro,Ġdem | oro,3,False
interviews (train),BERTIN (RoBERTa-es),deprimido,Ġdeprim | ido,3,True
interviews (train),BERTIN (RoBERTa-es),desanimado,Ġdes | anim | ado,3,False
interviews (train),BERTIN (RoBERTa-es),desmotivación,Ġdes | mo | tivaciÃ³n,3,False
interviews (train),BERTIN (RoBERTa-es),distraerme,Ġdistra | er | me,3,False
interviews (train),BERTIN (RoBERTa-es),entretengo,Ġentreten | go,3,False
