encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E5_E5SMALL_FT,fine-tuning-cv,question,05,augmented,PHQ9,42,test,confirmatory,4.641849,3.878779,0.286359,0.275909,0.438669,"[[0, 8, 0, 1], [0, 3, 7, 2], [0, 2, 10, 2], [0, 0, 9, 4]]",0.77193,0.733686,"[[13, 8], [5, 22]]",finetuned_cv,"{""fold_epochs"": [6, 3, 5, 5, 3], ""refit_epochs"": 5, ""cv_rmse"": 4.8616, ""cv_mae"": 4.0418, ""cv_r2"": 0.3333}",intfloat/multilingual-e5-small,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T13:45:26,
E5_E5SMALL_FT,fine-tuning-cv,question,05,augmented,GAD7,42,test,confirmatory,4.850647,4.127256,0.070468,0.133493,0.039301,"[[0, 9, 3, 0], [0, 8, 9, 0], [0, 10, 3, 0], [0, 3, 3, 0]]",0.357143,0.557169,"[[25, 4], [14, 5]]",finetuned_cv,"{""fold_epochs"": [5, 3, 1, 4, 3], ""refit_epochs"": 3, ""cv_rmse"": 4.4033, ""cv_mae"": 3.5417, ""cv_r2"": 0.2086}",intfloat/multilingual-e5-small,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T13:48:52,
E5_E5BASE_FT,fine-tuning-cv,question,05,augmented,PHQ9,42,test,confirmatory,4.36641,3.683781,0.368538,0.288829,0.407712,"[[0, 8, 0, 1], [0, 3, 7, 2], [0, 4, 9, 1], [0, 1, 7, 5]]",0.77193,0.749559,"[[13, 8], [5, 22]]",finetuned_cv,"{""fold_epochs"": [2, 2, 2, 4, 3], ""refit_epochs"": 2, ""cv_rmse"": 4.671, ""cv_mae"": 3.8495, ""cv_r2"": 0.3846}",intfloat/multilingual-e5-base,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T13:55:58,
E5_E5BASE_FT,fine-tuning-cv,question,05,augmented,GAD7,42,test,confirmatory,4.123104,3.156054,0.328395,0.317665,0.353591,"[[2, 8, 2, 0], [0, 12, 5, 0], [0, 6, 7, 0], [0, 2, 4, 0]]",0.588235,0.77314,"[[24, 5], [9, 10]]",finetuned_cv,"{""fold_epochs"": [2, 2, 2, 2, 3], ""refit_epochs"": 2, ""cv_rmse"": 4.1673, ""cv_mae"": 3.4496, ""cv_r2"": 0.2911}",intfloat/multilingual-e5-base,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T14:02:45,
E5_BETO_FT,fine-tuning-cv,question,05,augmented,PHQ9,42,test,confirmatory,4.400325,3.637453,0.358691,0.340909,0.431718,"[[0, 8, 1, 0], [0, 6, 5, 1], [0, 4, 10, 0], [0, 3, 6, 4]]",0.754717,0.770723,"[[15, 6], [7, 20]]",finetuned_cv,"{""fold_epochs"": [6, 2, 3, 7, 2], ""refit_epochs"": 3, ""cv_rmse"": 4.5362, ""cv_mae"": 3.7511, ""cv_r2"": 0.4196}",dccuchile/bert-base-spanish-wwm-cased,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T14:08:57,
E5_BETO_FT,fine-tuning-cv,question,05,augmented,GAD7,42,test,confirmatory,4.261283,3.373295,0.282626,0.284674,0.330077,"[[1, 9, 2, 0], [0, 11, 6, 0], [0, 5, 8, 0], [0, 2, 4, 0]]",0.631579,0.774047,"[[22, 7], [7, 12]]",finetuned_cv,"{""fold_epochs"": [2, 2, 3, 13, 1], ""refit_epochs"": 2, ""cv_rmse"": 4.2085, ""cv_mae"": 3.479, ""cv_r2"": 0.2771}",dccuchile/bert-base-spanish-wwm-cased,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T14:15:07,
E5_BERTIN_FT,fine-tuning-cv,question,05,augmented,PHQ9,42,test,confirmatory,4.629985,3.684901,0.290002,0.280702,0.437908,"[[0, 8, 1, 0], [0, 5, 6, 1], [0, 3, 9, 2], [0, 2, 8, 3]]",0.727273,0.783069,"[[13, 8], [7, 20]]",finetuned_cv,"{""fold_epochs"": [14, 3, 6, 6, 16], ""refit_epochs"": 6, ""cv_rmse"": 4.7012, ""cv_mae"": 3.9085, ""cv_r2"": 0.3766}",bertin-project/bertin-roberta-base-spanish,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T14:24:48,
E5_BERTIN_FT,fine-tuning-cv,question,05,augmented,GAD7,42,test,confirmatory,4.55865,3.464806,0.179011,0.379023,0.312,"[[4, 6, 2, 0], [0, 12, 5, 0], [0, 6, 7, 0], [0, 4, 2, 0]]",0.466667,0.715064,"[[25, 4], [12, 7]]",finetuned_cv,"{""fold_epochs"": [5, 2, 5, 7, 3], ""refit_epochs"": 5, ""cv_rmse"": 4.4283, ""cv_mae"": 3.6792, ""cv_r2"": 0.1996}",bertin-project/bertin-roberta-base-spanish,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T14:31:18,
E5_MDEBERTA_FT,fine-tuning-cv,question,05,augmented,PHQ9,42,test,confirmatory,4.76763,3.815174,0.24716,0.256863,0.341744,"[[0, 8, 0, 1], [0, 5, 7, 0], [0, 6, 7, 1], [0, 3, 7, 3]]",0.692308,0.740741,"[[14, 7], [9, 18]]",finetuned_cv,"{""fold_epochs"": [4, 2, 13, 7, 3], ""refit_epochs"": 4, ""cv_rmse"": 4.3463, ""cv_mae"": 3.4709, ""cv_r2"": 0.4672}",microsoft/mdeberta-v3-base,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T15:54:37,
E5_MDEBERTA_FT,fine-tuning-cv,question,05,augmented,GAD7,42,test,confirmatory,4.532644,3.463949,0.188351,0.336806,0.368005,"[[5, 7, 0, 0], [1, 11, 5, 0], [0, 9, 4, 0], [0, 4, 2, 0]]",0.4,0.725045,"[[24, 5], [13, 6]]",finetuned_cv,"{""fold_epochs"": [5, 3, 6, 4, 2], ""refit_epochs"": 4, ""cv_rmse"": 4.033, ""cv_mae"": 3.2979, ""cv_r2"": 0.3361}",microsoft/mdeberta-v3-base,finetuned_cv,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""n_cv_splits"": 5, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T16:56:43,
