encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E0_TFIDF_QUESTION,frozen,question,2,no_augmentation,PHQ9,42,test,confirmatory,5.291758,4.30148,0.072534,0.114035,0.103402,"[[0, 3, 6, 0], [0, 0, 12, 0], [0, 1, 13, 0], [0, 1, 12, 0]]",0.757576,0.624339,"[[7, 14], [2, 25]]",RandomForest,{},tfidf,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:05:34,
E0_TFIDF_QUESTION,frozen,question,2,no_augmentation,GAD7,42,test,confirmatory,4.827976,3.977588,0.079137,0.120968,0.047146,"[[0, 12, 0, 0], [0, 15, 2, 0], [0, 13, 0, 0], [0, 5, 1, 0]]",0.0,0.588022,"[[29, 0], [19, 0]]",RandomForest,{},tfidf,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:06:03,
E1_BETO_QUESTION,frozen,question,2,no_augmentation,PHQ9,42,test,confirmatory,5.004726,4.110831,0.170419,0.174714,0.22146,"[[0, 6, 3, 0], [0, 3, 8, 1], [0, 3, 11, 0], [0, 2, 11, 0]]",0.745763,0.675485,"[[11, 10], [5, 22]]",SVR,{},dccuchile/bert-base-spanish-wwm-cased,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:09:27,
E1_BETO_QUESTION,frozen,question,2,no_augmentation,GAD7,42,test,confirmatory,4.55887,3.719553,0.178931,0.213801,0.274336,"[[1, 10, 1, 0], [0, 12, 5, 0], [0, 10, 3, 0], [0, 2, 4, 0]]",0.16,0.6951,"[[25, 4], [17, 2]]",SVR,{},dccuchile/bert-base-spanish-wwm-cased,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:12:34,
E2_E5SMALL_QUESTION,frozen,question,2,no_augmentation,PHQ9,42,test,confirmatory,4.916137,4.044045,0.199528,0.200541,0.261761,"[[0, 7, 1, 1], [0, 3, 9, 0], [0, 4, 10, 0], [0, 2, 10, 1]]",0.714286,0.643739,"[[12, 9], [7, 20]]",SVR,{},intfloat/multilingual-e5-small,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:14:30,
E2_E5SMALL_QUESTION,frozen,question,2,no_augmentation,GAD7,42,test,confirmatory,4.489837,3.675076,0.203609,0.192308,0.199393,"[[0, 11, 1, 0], [0, 12, 5, 0], [0, 9, 4, 0], [0, 3, 3, 0]]",0.153846,0.705989,"[[24, 5], [17, 2]]",SVR,{},intfloat/multilingual-e5-small,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:16:31,
E2_E5BASE_QUESTION,frozen,question,2,no_augmentation,PHQ9,42,test,confirmatory,4.787546,3.956359,0.240856,0.217828,0.386364,"[[0, 7, 1, 1], [0, 3, 9, 0], [0, 3, 9, 2], [0, 0, 11, 2]]",0.774194,0.72134,"[[10, 11], [3, 24]]",SVR,{},intfloat/multilingual-e5-base,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:20:20,
E2_E5BASE_QUESTION,frozen,question,2,no_augmentation,GAD7,42,test,confirmatory,4.376439,3.522055,0.24333,0.27093,0.251595,"[[1, 9, 2, 0], [0, 11, 6, 0], [0, 6, 7, 0], [0, 3, 3, 0]]",0.5,0.733212,"[[24, 5], [11, 8]]",SVR,{},intfloat/multilingual-e5-base,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:24:09,
E2_E5LARGE_QUESTION,frozen,question,2,no_augmentation,PHQ9,42,test,confirmatory,4.634314,3.826176,0.288674,0.231303,0.48724,"[[0, 8, 1, 0], [0, 3, 9, 0], [0, 3, 10, 1], [0, 0, 11, 2]]",0.793103,0.70194,"[[13, 8], [4, 23]]",SVR,{},intfloat/multilingual-e5-large,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:29:11,
E2_E5LARGE_QUESTION,frozen,question,2,no_augmentation,GAD7,42,test,confirmatory,4.540595,3.68627,0.185501,0.202642,0.321101,"[[0, 12, 0, 0], [0, 13, 4, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.26087,0.76588,"[[28, 1], [16, 3]]",ExtraTrees,{},intfloat/multilingual-e5-large,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-10T02:33:57,
