encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E10_LEXICAL_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.337537,4.347519,0.056418,0.151977,0.030303,"[[0, 1, 8, 0], [0, 1, 11, 0], [0, 0, 14, 0], [0, 1, 12, 0]]",0.716418,0.601411,"[[5, 16], [3, 24]]",RandomForest,{},notebooks/lexical:lexical-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:23,
E10_LEXICAL_QUESTION,lexical,question,08,no_augmentation,GAD7,42,test,confirmatory,4.867679,4.05799,0.063929,0.137097,0.086849,"[[0, 11, 1, 0], [0, 17, 0, 0], [0, 13, 0, 0], [0, 4, 2, 0]]",0.1,0.647913,"[[29, 0], [18, 1]]",RidgeCV,{},notebooks/lexical:lexical-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:26,
E10_LEXICAL_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.337537,4.347519,0.056418,0.151977,0.030303,"[[0, 1, 8, 0], [0, 1, 11, 0], [0, 0, 14, 0], [0, 1, 12, 0]]",0.716418,0.601411,"[[5, 16], [3, 24]]",RandomForest,{},notebooks/lexical:lexical-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:33,
E10_LEXICAL_QUESTION,lexical,question,08,no_augmentation,GAD7,42,test,confirmatory,4.997266,4.230843,0.013426,0.154896,0.11041,"[[0, 12, 0, 0], [0, 15, 2, 0], [1, 11, 1, 0], [0, 4, 2, 0]]",0.26087,0.582577,"[[28, 1], [16, 3]]",SVR,{},notebooks/lexical:lexical-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:39,
E11_AFFECT_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.420305,4.447278,0.026927,0.106557,-0.011557,"[[0, 0, 9, 0], [0, 0, 12, 0], [0, 1, 13, 0], [0, 0, 13, 0]]",0.676471,0.536155,"[[3, 18], [4, 23]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:52,
E11_AFFECT_QUESTION,lexical,question,08,no_augmentation,GAD7,42,test,confirmatory,4.983822,4.117392,0.018727,0.161654,0.031646,"[[0, 11, 1, 0], [0, 13, 4, 0], [0, 11, 2, 0], [0, 5, 1, 0]]",0.0,0.560799,"[[29, 0], [19, 0]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:54,
E11_AFFECT_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.420305,4.447278,0.026927,0.106557,-0.011557,"[[0, 0, 9, 0], [0, 0, 12, 0], [0, 1, 13, 0], [0, 0, 13, 0]]",0.676471,0.536155,"[[3, 18], [4, 23]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:56,
E11_AFFECT_QUESTION,lexical,question,08,no_augmentation,GAD7,42,test,confirmatory,4.965922,4.111665,0.025763,0.152597,0.021176,"[[0, 11, 1, 0], [0, 12, 5, 0], [0, 11, 2, 0], [0, 5, 1, 0]]",0.16,0.597096,"[[25, 4], [17, 2]]",RandomForest,{},notebooks/lexical:affect-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:59,
E12_LEXICAL_AFFECT_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.461174,4.585342,0.012198,0.18109,0.06274,"[[0, 3, 6, 0], [0, 4, 8, 0], [0, 4, 10, 0], [0, 3, 10, 0]]",0.666667,0.488536,"[[8, 13], [7, 20]]",SVR,{},notebooks/lexical:lexical-affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:26:13,
E12_LEXICAL_AFFECT_QUESTION,lexical,question,08,no_augmentation,GAD7,42,test,confirmatory,4.846835,4.020888,0.071928,0.193182,0.134118,"[[0, 11, 1, 0], [0, 14, 3, 0], [0, 10, 3, 0], [0, 4, 2, 0]]",0.181818,0.651543,"[[28, 1], [17, 2]]",RidgeCV,{},notebooks/lexical:lexical-affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:26:15,
E12_LEXICAL_AFFECT_QUESTION,lexical,question,08,no_augmentation,PHQ9,42,test,confirmatory,5.215767,4.293818,0.09898,0.181631,0.103402,"[[0, 2, 7, 0], [0, 2, 10, 0], [0, 0, 14, 0], [0, 1, 12, 0]]",0.738462,0.673721,"[[7, 14], [3, 24]]",RandomForest,{},notebooks/lexical:lexical-affect-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:26:17,
