encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E10_LEXICAL,lexical,participant,08,no_augmentation,PHQ9,42,test,confirmatory,5.833285,4.895286,-0.127001,0.222707,0.083238,"[[0, 3, 6, 0], [1, 3, 7, 1], [0, 5, 9, 0], [0, 4, 7, 2]]",0.62069,0.506173,"[[8, 13], [9, 18]]",SVR,{},notebooks/lexical:lexical-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:05,
E10_LEXICAL,lexical,participant,08,no_augmentation,GAD7,42,test,confirmatory,4.83118,3.998069,0.077914,0.170426,0.107595,"[[0, 11, 1, 0], [0, 14, 3, 0], [0, 11, 2, 0], [0, 4, 2, 0]]",0.181818,0.578947,"[[28, 1], [17, 2]]",RandomForest,{},notebooks/lexical:lexical-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:08,
E10_LEXICAL,lexical,participant,08,no_augmentation,PHQ9,42,test,confirmatory,5.833285,4.895286,-0.127001,0.222707,0.083238,"[[0, 3, 6, 0], [1, 3, 7, 1], [0, 5, 9, 0], [0, 4, 7, 2]]",0.62069,0.506173,"[[8, 13], [9, 18]]",SVR,{},notebooks/lexical:lexical-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:14,
E10_LEXICAL,lexical,participant,08,no_augmentation,GAD7,42,test,confirmatory,5.185583,4.32699,-0.062332,0.203165,0.149059,"[[1, 9, 2, 0], [0, 13, 4, 0], [0, 11, 2, 0], [1, 1, 4, 0]]",0.333333,0.441016,"[[23, 6], [14, 5]]",SVR,{},notebooks/lexical:lexical-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:19,
E11_AFFECT,lexical,participant,08,no_augmentation,PHQ9,42,test,confirmatory,5.426512,4.477027,0.024697,0.17037,0.005263,"[[0, 2, 7, 0], [0, 2, 10, 0], [0, 1, 13, 0], [0, 3, 10, 0]]",0.698413,0.573192,"[[7, 14], [5, 22]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:42,
E11_AFFECT,lexical,participant,08,no_augmentation,GAD7,42,test,confirmatory,5.08709,4.154711,-0.02236,0.227143,0.033557,"[[0, 9, 3, 0], [0, 12, 5, 0], [0, 7, 6, 0], [0, 5, 1, 0]]",0.285714,0.562613,"[[24, 5], [15, 4]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:45,
E11_AFFECT,lexical,participant,08,no_augmentation,PHQ9,42,test,confirmatory,5.426512,4.477027,0.024697,0.17037,0.005263,"[[0, 2, 7, 0], [0, 2, 10, 0], [0, 1, 13, 0], [0, 3, 10, 0]]",0.698413,0.573192,"[[7, 14], [5, 22]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:48,
E11_AFFECT,lexical,participant,08,no_augmentation,GAD7,42,test,confirmatory,5.08709,4.154711,-0.02236,0.227143,0.033557,"[[0, 9, 3, 0], [0, 12, 5, 0], [0, 7, 6, 0], [0, 5, 1, 0]]",0.285714,0.562613,"[[24, 5], [15, 4]]",RidgeCV,{},notebooks/lexical:affect-v1,defaults-cv10,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 10, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:25:50,
E12_LEXICAL_AFFECT,lexical,participant,08,no_augmentation,PHQ9,42,test,confirmatory,5.385293,4.362065,0.039457,0.223279,0.085978,"[[0, 2, 7, 0], [1, 4, 6, 1], [0, 3, 10, 1], [0, 3, 9, 1]]",0.62963,0.610229,"[[11, 10], [10, 17]]",SVR,{},notebooks/lexical:lexical-affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:26:01,
E12_LEXICAL_AFFECT,lexical,participant,08,no_augmentation,GAD7,42,test,confirmatory,4.884715,3.966603,0.057365,0.214583,0.190022,"[[0, 10, 2, 0], [0, 11, 6, 0], [0, 7, 6, 0], [0, 3, 3, 0]]",0.4,0.602541,"[[24, 5], [13, 6]]",RandomForest,{},notebooks/lexical:lexical-affect-v1,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""mental_es_model"": ""ELiRF/RoBERTa-es-mental-large"", ""n_cv_splits"": 5, ""n_search_iter"": 0, ""regressors"": [""SVR"", ""RandomForest"", ""RidgeCV""], ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-20T18:26:02,
