encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,PHQ9,42,test,confirmatory,5.325969,4.309522,0.060503,0.143447,0.071381,"[[0, 2, 7, 0], [0, 1, 11, 0], [0, 1, 13, 0], [0, 1, 12, 0]]",0.727273,0.617284,"[[6, 15], [3, 24]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:16:38,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,GAD7,42,test,confirmatory,4.826049,3.985987,0.079872,0.116667,0.103168,"[[0, 12, 0, 0], [0, 14, 3, 0], [0, 13, 0, 0], [0, 4, 2, 0]]",0.0,0.598911,"[[29, 0], [19, 0]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:19:42,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,PHQ9,43,test,confirmatory,5.318488,4.284592,0.063141,0.116667,0.106901,"[[0, 2, 7, 0], [0, 0, 12, 0], [0, 0, 14, 0], [0, 0, 13, 0]]",0.707692,0.606702,"[[6, 15], [4, 23]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:27:17,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,GAD7,43,test,confirmatory,4.854321,4.009114,0.069059,0.116667,0.103168,"[[0, 12, 0, 0], [0, 14, 3, 0], [0, 13, 0, 0], [0, 4, 2, 0]]",0.0,0.604356,"[[29, 0], [19, 0]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:33:57,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,PHQ9,44,test,confirmatory,5.280359,4.268019,0.076526,0.116667,0.106901,"[[0, 2, 7, 0], [0, 0, 12, 0], [0, 0, 14, 0], [0, 0, 13, 0]]",0.727273,0.606702,"[[6, 15], [3, 24]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:35:19,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,GAD7,44,test,confirmatory,4.786187,3.965021,0.095009,0.116667,0.103168,"[[0, 12, 0, 0], [0, 14, 3, 0], [0, 13, 0, 0], [0, 4, 2, 0]]",0.1,0.631579,"[[29, 0], [18, 1]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:36:41,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,PHQ9,45,test,confirmatory,5.249809,4.222917,0.08718,0.143447,0.167445,"[[0, 3, 6, 0], [0, 1, 11, 0], [0, 1, 13, 0], [0, 0, 13, 0]]",0.761905,0.633157,"[[9, 12], [3, 24]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:38:10,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,GAD7,45,test,confirmatory,4.846201,3.966812,0.072171,0.144444,0.064175,"[[0, 12, 0, 0], [0, 14, 3, 0], [0, 12, 1, 0], [0, 5, 1, 0]]",0.0,0.607985,"[[28, 1], [19, 0]]",ExtraTrees,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:39:44,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,PHQ9,46,test,confirmatory,5.318709,4.315287,0.063063,0.114035,0.103402,"[[0, 3, 6, 0], [0, 0, 12, 0], [0, 1, 13, 0], [0, 1, 12, 0]]",0.738462,0.624339,"[[7, 14], [3, 24]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:41:10,
E0_TFIDF_QUESTION,frozen,question,02,no_augmentation,GAD7,46,test,confirmatory,4.865656,4.017164,0.064707,0.120968,0.047146,"[[0, 12, 0, 0], [0, 15, 2, 0], [0, 13, 0, 0], [0, 5, 1, 0]]",0.0,0.611615,"[[29, 0], [19, 0]]",RandomForest,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T16:42:35,
