encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E5_E5SMALL_FT,fine-tuning,question,04,augmented,PHQ9,42,test,confirmatory,5.395507,4.354551,0.03581,0.112903,0.0,"[[0, 0, 9, 0], [0, 0, 12, 0], [0, 0, 14, 0], [0, 0, 13, 0]]",0.707692,0.544974,"[[6, 15], [4, 23]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 0.9625}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T06:57:53,
E5_E5SMALL_FT,fine-tuning,question,04,augmented,GAD7,42,test,confirmatory,4.924525,4.098629,0.041938,0.186869,0.198953,"[[0, 7, 5, 0], [0, 5, 12, 0], [0, 3, 10, 0], [0, 1, 5, 0]]",0.583333,0.622505,"[[14, 15], [5, 14]]",finetuned,"{""stopped_epoch"": 6, ""best_val_rmse_scaled"": 0.9819}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T06:58:47,
E5_E5BASE_FT,fine-tuning,question,04,augmented,PHQ9,42,test,confirmatory,4.386564,3.704787,0.362696,0.210428,0.371179,"[[0, 7, 2, 0], [0, 3, 9, 0], [0, 3, 11, 0], [0, 1, 11, 1]]",0.754098,0.776014,"[[10, 11], [4, 23]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 0.8831}",intfloat/multilingual-e5-base,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T06:59:55,
E5_E5BASE_FT,fine-tuning,question,04,augmented,GAD7,42,test,confirmatory,4.886812,4.103275,0.056556,0.173208,0.06422,"[[0, 10, 2, 0], [0, 12, 5, 0], [0, 10, 3, 0], [0, 4, 2, 0]]",0.166667,0.557169,"[[26, 3], [17, 2]]",finetuned,"{""stopped_epoch"": 1, ""best_val_rmse_scaled"": 1.0058}",intfloat/multilingual-e5-base,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:00:52,
E5_BETO_FT,fine-tuning,question,04,augmented,PHQ9,42,test,confirmatory,4.506554,3.797868,0.327353,0.246955,0.411404,"[[0, 8, 1, 0], [0, 5, 7, 0], [0, 3, 11, 0], [0, 2, 10, 1]]",0.740741,0.791887,"[[14, 7], [7, 20]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 0.9322}",dccuchile/bert-base-spanish-wwm-cased,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:01:41,
E5_BETO_FT,fine-tuning,question,04,augmented,GAD7,42,test,confirmatory,4.600274,3.810439,0.16395,0.204167,0.225238,"[[0, 11, 1, 0], [0, 10, 7, 0], [0, 7, 6, 0], [0, 3, 3, 0]]",0.344828,0.682396,"[[24, 5], [14, 5]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 1.0148}",dccuchile/bert-base-spanish-wwm-cased,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:02:30,
E5_BERTIN_FT,fine-tuning,question,04,augmented,PHQ9,42,test,confirmatory,4.601176,3.759095,0.29881,0.27381,0.449893,"[[0, 7, 2, 0], [0, 4, 6, 2], [0, 1, 10, 3], [0, 0, 10, 3]]",0.786885,0.793651,"[[11, 10], [3, 24]]",finetuned,"{""stopped_epoch"": 4, ""best_val_rmse_scaled"": 0.9422}",bertin-project/bertin-roberta-base-spanish,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:03:31,
E5_BERTIN_FT,fine-tuning,question,04,augmented,GAD7,42,test,confirmatory,4.502476,3.697975,0.19912,0.217172,0.260745,"[[0, 10, 2, 0], [0, 10, 7, 0], [0, 6, 7, 0], [0, 2, 4, 0]]",0.545455,0.718693,"[[24, 5], [10, 9]]",finetuned,"{""stopped_epoch"": 4, ""best_val_rmse_scaled"": 1.0097}",bertin-project/bertin-roberta-base-spanish,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:04:32,
E5_E5SMALL_FT,fine-tuning,question,04,augmented,PHQ9,42,test,confirmatory,5.395609,4.354637,0.035774,0.112903,0.0,"[[0, 0, 9, 0], [0, 0, 12, 0], [0, 0, 14, 0], [0, 0, 13, 0]]",0.716418,0.544974,"[[5, 16], [3, 24]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 0.9625}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:41:57,
E5_E5SMALL_FT,fine-tuning,question,04,augmented,GAD7,42,test,confirmatory,4.900665,4.075448,0.051199,0.186869,0.198953,"[[0, 7, 5, 0], [0, 5, 12, 0], [0, 3, 10, 0], [0, 1, 5, 0]]",0.583333,0.624319,"[[14, 15], [5, 14]]",finetuned,"{""stopped_epoch"": 6, ""best_val_rmse_scaled"": 0.9783}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""augmented"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-10T07:42:50,
