encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E5_E5SMALL_FT,fine-tuning,question,04,no_augmentation,PHQ9,42,test,confirmatory,5.268116,4.297843,0.080803,0.151393,0.214145,"[[0, 4, 5, 0], [0, 2, 10, 0], [0, 3, 11, 0], [0, 0, 13, 0]]",0.592593,0.597884,"[[10, 11], [11, 16]]",finetuned,"{""stopped_epoch"": 4, ""best_val_rmse_scaled"": 0.9605}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:02:43,
E5_E5SMALL_FT,fine-tuning,question,04,no_augmentation,GAD7,42,test,confirmatory,5.064824,4.089234,-0.01343,0.130769,0.0,"[[0, 12, 0, 0], [0, 17, 0, 0], [0, 13, 0, 0], [0, 6, 0, 0]]",0.0,0.497278,"[[29, 0], [19, 0]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 1.1131}",intfloat/multilingual-e5-small,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:03:01,
E5_E5BASE_FT,fine-tuning,question,04,no_augmentation,PHQ9,42,test,confirmatory,4.370152,3.495314,0.367456,0.364254,0.519747,"[[2, 6, 1, 0], [1, 6, 5, 0], [0, 4, 9, 1], [0, 2, 9, 2]]",0.754717,0.783069,"[[15, 6], [7, 20]]",finetuned,"{""stopped_epoch"": 5, ""best_val_rmse_scaled"": 0.9176}",intfloat/multilingual-e5-base,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:03:59,
E5_E5BASE_FT,fine-tuning,question,04,no_augmentation,GAD7,42,test,confirmatory,4.330121,3.530241,0.259261,0.231378,0.35,"[[0, 10, 2, 0], [0, 9, 8, 0], [0, 4, 9, 0], [0, 1, 5, 0]]",0.526316,0.729583,"[[20, 9], [9, 10]]",finetuned,"{""stopped_epoch"": 3, ""best_val_rmse_scaled"": 0.9456}",intfloat/multilingual-e5-base,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:04:43,
E5_BETO_FT,fine-tuning,question,04,no_augmentation,PHQ9,42,test,confirmatory,5.223764,4.139502,0.096215,0.22037,0.226316,"[[0, 3, 6, 0], [0, 4, 8, 0], [0, 1, 13, 0], [0, 0, 13, 0]]",0.612245,0.723986,"[[14, 7], [12, 15]]",finetuned,"{""stopped_epoch"": 1, ""best_val_rmse_scaled"": 0.9969}",dccuchile/bert-base-spanish-wwm-cased,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:05:08,
E5_BETO_FT,fine-tuning,question,04,no_augmentation,GAD7,42,test,confirmatory,4.587638,3.834253,0.168536,0.265761,0.357702,"[[0, 10, 2, 0], [0, 6, 11, 0], [0, 4, 9, 0], [0, 1, 4, 1]]",0.636364,0.676951,"[[18, 11], [5, 14]]",finetuned,"{""stopped_epoch"": 4, ""best_val_rmse_scaled"": 1.0591}",dccuchile/bert-base-spanish-wwm-cased,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:05:44,
E5_BERTIN_FT,fine-tuning,question,04,no_augmentation,PHQ9,42,test,confirmatory,5.324576,4.201068,0.060995,0.21788,0.182711,"[[0, 3, 6, 0], [0, 4, 8, 0], [0, 1, 13, 0], [0, 1, 12, 0]]",0.642857,0.636684,"[[10, 11], [9, 18]]",finetuned,"{""stopped_epoch"": 3, ""best_val_rmse_scaled"": 0.9615}",bertin-project/bertin-roberta-base-spanish,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:06:16,
E5_BERTIN_FT,fine-tuning,question,04,no_augmentation,GAD7,42,test,confirmatory,5.064287,4.215403,-0.013215,0.18125,0.262012,"[[0, 7, 5, 0], [0, 4, 13, 0], [0, 2, 11, 0], [0, 0, 6, 0]]",0.0,0.569873,"[[29, 0], [19, 0]]",finetuned,"{""stopped_epoch"": 2, ""best_val_rmse_scaled"": 1.0296}",bertin-project/bertin-roberta-base-spanish,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:06:42,
E5_MDEBERTA_FT,fine-tuning,question,04,no_augmentation,PHQ9,42,test,confirmatory,5.12092,4.15887,0.131452,0.175676,0.179988,"[[0, 8, 1, 0], [0, 5, 7, 0], [0, 6, 8, 0], [0, 6, 7, 0]]",0.5,0.656085,"[[15, 6], [16, 11]]",finetuned,"{""stopped_epoch"": 3, ""best_val_rmse_scaled"": 0.8991}",microsoft/mdeberta-v3-base,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:11:56,
E5_MDEBERTA_FT,fine-tuning,question,04,no_augmentation,GAD7,42,test,confirmatory,4.637148,3.941241,0.150493,0.176587,0.261538,"[[0, 9, 3, 0], [0, 5, 12, 0], [0, 4, 9, 0], [0, 1, 5, 0]]",0.511628,0.664247,"[[16, 13], [8, 11]]",finetuned,"{""stopped_epoch"": 4, ""best_val_rmse_scaled"": 0.9861}",microsoft/mdeberta-v3-base,finetuned,"{""augmentation"": ""no_augmentation"", ""batch_size"": 16, ""eval_batch_size"": 32, ""grad_accum_steps"": 1, ""llrd_decay"": 0.9, ""lr_encoder_top"": 3e-05, ""lr_head"": 0.0001, ""max_epochs"": 20, ""max_grad_norm"": 1.0, ""max_tokens"": 512, ""patience"": 4, ""seeds"": [42], ""use_bf16"": true, ""val_fraction"": 0.2, ""warmup_ratio"": 0.1, ""weight_decay"": 0.01}",2026-09-17T18:17:47,
